time	unit	value	date
15	min	13	04.07.28
15	min	15.2	13.08.39
15	min	19.2	15.08.55
15	min	10	14.08.57
15	min	7.6	29.06.59
15	min	9.4	24.06.60
15	min	10	21.07.63
15	min	9.6	06.07.68
15	min	5.2	05.09.69
15	min	10.2	21.08.70
15	min	12	24.07.72
15	min	15.2	23.08.73
15	min	8	30.07.74
15	min	5.2	10.07.75
15	min	7.8	29.09.76
15	min	6	26.07.77
15	min	3.8	06.06.78
15	min	8.4	27.06.79
15	min	11	26.07.80
15	min	16	06.08.81
15	min	14.4	13.07.82
15	min	8.4	08.09.83
15	min	9	28.08.84
15	min	21.4	15.07.85
15	min	16	23.05.86
15	min	12	06.09.87
15	min	12	20.08.88
15	min	11.2	27.08.89
15	min	8.4	04.09.90
15	min	9.8	01.08.91
15	min	17	29.08.92
15	min	12	20.07.93
15	min	10.2	07.07.94
15	min	14.4	12.07.95
15	min	17.4	12.06.96
15	min	14	12.06.97
15	min	11.6	25.06.98
15	min	11	27.05.99
15	min	7.6	20.09.00
15	min	20.4	30.06.01
15	min	11.8	13.07.02
15	min	12.2	17.07.03
15	min	14	01.07.04
15	min	17.6	04.09.05
15	min	19.6	25.07.06
15	min	13.8	30.04.07
15	min	11.6	01.09.08
15	min	10.8	30.07.09
15	min	8.6	27.08.10
15	min	9.9	18.09.11
15	min	14	23.06.12
15	min	13	02.05.13
15	min	13.6	31.08.14
15	min	13.3	08.10.15
15	min	14.8	13.06.16
15	min	15.9	25.06.17
15	min	11.4	27.05.18
15	min	26.6	06.08.19
15	min	14.6	30.07.20
15	min	10.9	26.07.21
15	min	16.4	25.07.22
30	min	18	13.07.50
30	min	12	17.09.51
30	min	16	17.07.52
30	min	27.6	02.02.96
30	min	18	02.06.04
30	min	16	02.10.40
30	min	22	07.06.58
30	min	21	20.06.62
30	min	18	25.07.65
30	min	10	25.07.67
30	min	9.2	05.09.69
30	min	14.6	21.08.70
30	min	17.4	24.07.72
30	min	21.4	23.08.73
30	min	10.8	30.07.74
30	min	7.6	10.07.75
30	min	10	29.09.76
30	min	7.4	26.07.77
30	min	4.4	06.06.78
30	min	9.6	01.06.79
30	min	14	26.07.80
30	min	21.4	06.08.81
30	min	17.2	03.01.45
30	min	12.4	03.05.38
30	min	13.4	03.09.22
30	min	23.6	03.12.43
30	min	24.2	23.05.86
30	min	16.6	31.05.87
30	min	17.8	20.08.88
30	min	15.4	27.08.89
30	min	10.2	04.09.90
30	min	12.2	25.07.91
30	min	17.8	29.08.92
30	min	14	20.07.93
30	min	13	13.07.94
30	min	18.6	12.07.95
30	min	24.6	12.06.96
30	min	14.8	12.06.97
30	min	17.6	25.06.98
30	min	13.2	21.06.99
30	min	10.4	20.09.00
30	min	29.4	30.06.01
30	min	13	13.07.02
30	min	13	17.07.03
30	min	16.4	01.07.04
30	min	24	04.09.05
30	min	36.8	25.07.06
30	min	15.7	30.04.07
30	min	21.5	01.09.08
30	min	15	30.07.09
30	min	10.6	04.03.98
30	min	12.6	04.08.04
30	min	17.8	04.11.52
30	min	14.8	02.05.13
30	min	17.7	31.08.14
30	min	17.3	08.06.15
30	min	23	13.06.16
30	min	25.5	25.06.17
30	min	18.6	27.05.18
30	min	26.9	06.08.19
30	min	25.5	30.07.20
30	min	16	13.07.21
30	min	22.9	25.07.22
45	min	14.8	16.07.23
45	min	11	25.07.67
45	min	10.6	06.07.68
45	min	9.6	05.09.69
45	min	16.4	31.07.70
45	min	18.4	24.07.72
45	min	24.4	23.08.73
45	min	11.4	30.07.74
45	min	11	10.07.75
45	min	11.2	09.09.76
45	min	10.2	26.07.77
45	min	6	15.07.78
45	min	12.4	01.06.79
45	min	14.2	26.07.80
45	min	22.2	06.08.81
45	min	18	03.01.45
45	min	13.6	03.05.38
45	min	16.6	03.09.22
45	min	24	03.12.43
45	min	25.2	23.05.86
45	min	18.8	31.05.87
45	min	19.4	20.08.88
45	min	15.8	10.07.89
45	min	11.4	21.06.90
45	min	15	25.07.91
45	min	19.2	29.08.92
45	min	14.2	20.07.93
