timestep	mm	Datum data
15 min	13,00	04.07.1928
15 min	15,20	13.08.1939
15 min	19,20	15.08.1955
15 min	10,00	14.08.1957
15 min	7,60	29.06.1959
15 min	9,40	24.06.1960
15 min	10,00	21.07.1963
15 min	9,60	06.07.1968
15 min	5,20	05.09.1969
15 min	10,20	21.08.1970
15 min	12,00	24.07.1972
15 min	15,20	23.08.1973
15 min	8,00	30.07.1974
15 min	5,20	10.07.1975
15 min	7,80	29.09.1976
15 min	6,00	26.07.1977
15 min	3,80	06.06.1978
15 min	8,40	27.06.1979
15 min	11,00	26.07.1980
15 min	16,00	06.08.1981
15 min	14,40	13.07.1982
15 min	8,40	08.09.1983
15 min	9,00	28.08.1984
15 min	21,40	15.07.1985
15 min	16,00	23.05.1986
15 min	12,00	06.09.1987
15 min	12,00	20.08.1988
15 min	11,20	27.08.1989
15 min	8,40	04.09.1990
15 min	9,80	01.08.1991
15 min	17,00	29.08.1992
15 min	12,00	20.07.1993
15 min	10,20	07.07.1994
15 min	14,40	12.07.1995
15 min	17,40	12.06.1996
15 min	14,00	12.06.1997
15 min	11,60	25.06.1998
15 min	11,00	27.05.1999
15 min	7,60	20.09.2000
15 min	20,40	30.06.2001
15 min	11,80	13.07.2002
15 min	12,20	17.07.2003
15 min	14,00	01.07.2004
15 min	17,60	04.09.2005
15 min	19,60	25.07.2006
15 min	13,80	30.04.2007
15 min	11,60	01.09.2008
15 min	10,80	30.07.2009
15 min	8,60	27.08.2010
15 min	9,90	18.09.2011
15 min	14,00	23.06.2012
15 min	13,00	02.05.2013
15 min	13,60	31.08.2014
15 min	13,30	08.10.2015
15 min	14,80	13.06.2016
15 min	15,90	25.06.2017
15 min	11,40	27.05.2018
15 min	26,60	06.08.2019
15 min	14,60	30.07.2020
15 min	10,90	26.07.2021
15 min	16,40	25.07.2022
30 min	18	18457
30 min	12	18888
30 min	16	19192
30 min	27,6	20296
30 min	18	20604
30 min	16	21040
30 min	22	21343
30 min	21	22817
30 min	18	23948
30 min	10	24678
30 min	9,2	25451
30 min	14,6	25801
30 min	17,4	26504
30 min	21,4	26899
30 min	10,8	27240
30 min	7,6	27585
30 min	10	28032
30 min	7,4	28332
30 min	4,4	28647
30 min	9,6	29007
30 min	14	29428
30 min	21,4	29804
30 min	17,2	30145
30 min	12,4	30538
30 min	13,4	30922
30 min	23,6	31243
30 min	24,2	31555
30 min	16,6	31928
30 min	17,8	32375
30 min	15,4	32747
30 min	10,2	33120
30 min	12,2	33444
30 min	17,8	33845
30 min	14	34170
30 min	13	34528
30 min	18,6	34892
30 min	24,6	35228
30 min	14,8	35593
30 min	17,6	35971
30 min	13,2	36332
30 min	10,4	36789
30 min	29,4	37072
30 min	13	37450
30 min	13	37819
30 min	16,4	38169
30 min	24	38599
30 min	36,8	38923
30 min	15,7	39202
30 min	21,5	39692
30 min	15	40024
30 min	10,6	40398
30 min	12,6	40804
30 min	17,8	41152
30 min	14,8	41396
30 min	17,7	41882
30 min	17,3	42163
30 min	23	42534
30 min	25,5	42911
30 min	18,6	43247
30 min	26,9	43683
30 min	25,5	44042
30 min	16	44390
30 min	22,9	44767
45 min	14,8	8598
45 min	11	24678
45 min	10,6	25025
45 min	9,6	25451
45 min	16,4	25780
45 min	18,4	26504
45 min	24,4	26899
45 min	11,4	27240
45 min	11	27585
45 min	11,2	28012
45 min	10,2	28332
45 min	6	28686
45 min	12,4	29007
45 min	14,2	29428
45 min	22,2	29804
45 min	18	30145
45 min	13,6	30538
45 min	16,6	30922
45 min	24	31243
45 min	25,2	31555
45 min	18,8	31928
45 min	19,4	32375
45 min	15,8	32699
45 min	11,4	33045
45 min	15	33444
45 min	19,2	33845
45 min	14,2	34170
45 min	13,8	34528
45 min	25,4	34892
45 min	25,8	35228
45 min	14,8	35593
45 min	25,6	35971
45 min	14,8	36332
45 min	13,2	36789
45 min	30,4	37072
45 min	14,8	37401
45 min	13	37819
45 min	16,6	38169
45 min	24,8	38599
45 min	40,4	38923
45 min	16,3	39202
45 min	24,2	39692
45 min	18,2	40024
45 min	10,8	40405
45 min	14	40804
45 min	24,2	41152
45 min	16	41396
45 min	22	41882
45 min	18,8	42285
45 min	25,5	42534
45 min	34	42929
45 min	21,4	43318
45 min	26,9	43683
45 min	27,8	44042
45 min	17	44390
45 min	24,9	44767
1 h	32	10431
1 h	15,4	13299
1 h	30,2	13705
1 h	21	14432
1 h	9,8	14788
1 h	16	15200
1 h	20,2	15530
1 h	28,3	18472
1 h	23,4	18888
1 h	20	19192
1 h	26,8	19573
1 h	13,6	19988
1 h	30,4	20296
1 h	20,6	20604
1 h	34,2	21040
1 h	28	21343
1 h	14,2	21851
1 h	17	22158
1 h	12,8	22442
1 h	31	22817
1 h	28,4	23213
1 h	15,4	23547
1 h	23	23948
1 h	25,2	24302
1 h	16	24678
1 h	12,2	25025
1 h	9,8	25451
1 h	18	25780
1 h	23	26504
1 h	25	26899
1 h	11,4	27240
1 h	14,4	27585
1 h	12,2	28063
1 h	11,4	28332
1 h	7,4	28682
1 h	14,6	29007
1 h	14,2	29428
1 h	22,2	29804
1 h	18,2	30145
1 h	15	30567
1 h	17,4	30922
1 h	24	31243
1 h	25,2	31555
1 h	21,8	32026
1 h	19,6	32375
1 h	16,6	32699
1 h	13,2	33045
1 h	16,2	33444
1 h	24,2	33845
1 h	16	34170
1 h	16,2	34521
1 h	29,6	34892
1 h	25,8	35228
1 h	14,8	35593
1 h	28	35971
